,Unnamed: 0,tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product,sentiment_target
0,0,".@Wesley83 I have a 3G -IPhone. After 3 hours tweeting it at #rise_austin, it was dead! I have to upgrade.plugin stations at #SXSW.",iPhone,Negative emotion,0
1,3,@SXSW I hope this year's festival is not as unclear as this year's iPhone app.#Sxsw,iPad or iPhone App,Negative emotion,0
2,17,I just noticed that DST is coming this weekend. How many iPhone users will be at SXSW an hour later on Sunday morning?,iPhone,Negative emotion,0
3,38,@MENTION - false alarm: Google circles are not coming now.And probably never?- {Link} #google #circles #Social #sxsw,Google,Negative emotion,0
4,62,Again?#SXSW,,Negative emotion,0
5,65,Visitor @MENTION IPAD Design Headache #SXSW {Link}},iPad,Negative emotion,0
6,66,"BOOOO! RT @MENTION Flipboard develops an iPhone version, not Android, says @mention #SXSW",,Negative emotion,0
7,90,What!?!?@MENTION #SXSW does not deliver iPhone chargers?!? I have changed my opinion about the next year!,iPhone,Negative emotion,0
8,101,"Know the ""dataviz & quot; translated into"" satanic """" on an iPhone. I only say '.#Sxsw",,Negative emotion,0
9,163,Seriously #SXSW? Have you carried out tests in the mobile apps? Permanent iPad crashes and cause lost schedules and no synchronization for WP7.,iPad or iPhone App,Negative emotion,0
10,165,IPAD2 and #SXSW ... a fire of stupidness. {link},iPad,Negative emotion,0
11,173,"You spent $ 1,000+ to come to SXSW.

You have already used iPad 1.

Waiting are a few city blocks.

Why the? #Ipad2 #sxsw {link}",iPad,Negative emotion,0
12,182,"I am up to 2 iPad 2s in the wild. Beady people say it is quick, but the pictures are still terrible.#SXSW",iPad,Negative emotion,0
13,224,"When iPhone alerts, how many #sxsw'ers freak? To flight late, missed panels, behind Bloody Marys ...",iPhone,Negative emotion,0
14,227,I said I also wish I was at #SXSW #dyac stupid iPhone!,iPhone,Negative emotion,0
15,252,Found the Kipping app of the geolocalization of my iPhone & amp; not release in the background.,iPad or iPhone App,Negative emotion,0
16,259,Of course Apple built a tempor in Austin.,Apple,Negative emotion,0
17,268,��@mention Apple opens a temporary business in the city center of Austin for #SXSW and the iPad 2 Start & Quot; Oh yay more traffic.,Apple,Negative emotion,0
18,280,"""The Apple Store in the shopping center on Sunday is overfilled 10 times. This line is wrong. I only need a damn dongle. & Quot; Genius let me in",Apple,Negative emotion,0
19,293,iPad News -apps 'so last year' at #SXSW {link},iPad or iPhone App,Negative emotion,0
20,313,I have at #SXSW Interactive: & quot;ark! I hate the iPhone! I want to go back my Blackberry & quot;#shocked,iPhone,Negative emotion,0
21,315,���@mention at #sxsw: & quot;Apple comes with cool technology that nobody has ever heard of,Apple,Negative emotion,0
22,324,Heard at MDW (and I will do it for the second time via my iPhone battery and I didn't even ask the plane in #SXSW & quot. #Amateurhour,iPhone,Negative emotion,0
23,339,"They took the LEGO pit away, but replaced them with a charging station;) #SXSW and I could check the prices for an iPhone - Mist Samsung Android",Android,Negative emotion,0
24,341,".@Mention bad Apple: late, Qs the process, poo-poos ideas, leaves early. Even ""I am too creative"" or employ #gamestorming #Sxsw",Apple,Negative emotion,0
25,343,The attempt to compensate for the electricity requirement on the iPhone VS iPad at #SXSW. This 3G -Pad sucks it out quickly.,iPad,Negative emotion,0
26,346,My iPhone Akku cannot keep up with my tweets! Thanks Apple. #SXSW #PreCommerce,iPhone,Negative emotion,0
27,356,��@consider the best I am this weekend at #SXSW & quot;I have given my iPad 2 money to #japan relief. I don't need a iPad 2. & quot;@mention,iPad,Negative emotion,0
28,362,Google VS Bing on #BetterSearch.Bing has a success with a structured search.,Google,Negative emotion,0
29,394,"IPAD 2 comes out at #SXSW, I guess Apple is pretty desperate to draw it.",Apple,Negative emotion,0
30,406,Provements daily-folgen @memention #Apletxdt 4 updates rt @mention pop-up Apple Store does not seem to be in pop-up-ipad2s. #Sxsw,,Negative emotion,0
31,410,The iPhone is dead. Find me on the secret batphone #SXSW.,iPhone,Negative emotion,0
32,431,Why Barry Diller believes that only iPad is content is muts @mmention #sxsw @mention {link} @mention,iPad,Negative emotion,0
33,434,In Japan: Docomo presented with App Store Mobile Apps six years before Apple. #JPMobilesummit #SXSW,Apple,Negative emotion,0
34,445,Lords who deal with an Apple pop-up about a gold fitness studio. Do you recognize how un-jobs aesthetic this is? #Sxsw #Aplle,Apple,Negative emotion,0
35,485,I have to find a better #SXSW stream to follow. The insane iPad 2 tweets are certainly not what Southby is about,iPad,Negative emotion,0
36,526,Austin becomes full and #sxsw is in going. I can see because my iPhone is a temporary brick,iPhone,Negative emotion,0
37,551,Length of the Google penalty based on the severity of the violation of webmaster guidelines.,,Negative emotion,0
38,557,"���@consider Google to start a large new social network called Circles, possibly today {link} #sxsw� ۝
Myspace will never beat.",Other Google product or service,Negative emotion,0
39,607,"Hey #SXSW, how high the donation of all this $ your editions for the new #ipad to Japan. Do you really do that thing?",iPad,Negative emotion,0
40,615,".@Mentioned I have a 3g -iPhone. After 3 hours it tweeted it at #rise_austin, it was dead! I have to upgrade.plugin stations at #SXSW.",iPhone,Negative emotion,0
41,616,.@Mentioned I have the feeling that #sxsw will be the worst place to try it. Get an iPad 2- everyone will try to get one. #Techiesunite,iPad,Negative emotion,0
42,626,"I thought I would use my iPad a lot during #SXSW, but I haven't even touched it.",iPad,Negative emotion,0
43,656,"Google is interested in the location -based technology for indoor locations -companies, congress centers etc. must first improve.#SXSW",Google,Negative emotion,0
44,670,The first iPad didn't even exist here last year and I already have the feeling that I use my iPad #SXSW #ipad2 every time I use my iPad #SXSW,iPad,Negative emotion,0
45,675,"Shoot, my iPad shows no search results :( has to go through questions later #osMPW #sxsw",iPad,Negative emotion,0
46,678,"The #SXSW iPhone app mocks me, as I would have the money to be there - come.",iPad or iPhone App,Negative emotion,0
