,tweet_text
3589,Hey @mmention was invited to a new group at #SXSW and your Android app crashes again and again when I try to join! WTF? #Sxswfail
3413,"Totalitarian thinking in action: People worldwide come to Austin, TX for #SXSW and decide to spend their time in an Apple store."
1788,"@MENTION, just to talk about mistakes at #SXSW, create the #Netflix #iPhone app"
6276,"RT @MENTION RT @mtion Apple is ""The classic, fascist company in America, & quot; says @mention #SXSW"
4933,Rt @mmention & quot;@MENTION - #Aplle is the classic fascist company in America. Really elegant.& Quot; #sxsw #rji
6731,"RT @mmention Woman in Lobby: ""There is a website with the title"" stupid iPhone Speller "", and they are people who take pictures of funny autokored words. & Quot; #SXSW"
2221,"The iPad calendar = the Franken interface. As a interface metaphor designed, but uses another. #Tapworthy #sxsw"
3381,"@MENTION I said iTunes does not work for me (i.e. no Apple software, even if it would be executed on my Ubuntu desktop). Not only #SXSW DL"
3541,I think I might have to bring my laptop to #SXSW. The iPad alone may not be enough on this trip.
6448,RT @mmention speaks truth: #Aplle employee in Temp #SXSW Store only high five whole long line and facepalmed.pfui. #Longinesbadux
1934,@MENTION Another Google social failure? #sxsw
7288,"Apps direct pubs to concentrate SEZ KHOI Vinh.anstatt on reader -EXP, deliver the same content 3 ways.#Sxsw {link}"
6154,RT @mmention grade in itself: Disadvantage of the tweet on a white iPad 2 await you to be mocked. @Mention #sxsw
3371,"@MENTION I hate to type an iPad. So, yes, the Ken Calhoun is this man, the real deal! And I bring my laptop to #SXSW Sun."
3992,Take a look at all these people at #SXSW with iPad 1.
607,"Hey #SXSW, how high the donation of all this $ your editions for the new #ipad to Japan. Do you really do that thing?"
4689,Kaschmir of Mashable: The iPad 2 believes that it is not a big step. I am now waiting for the Apple PR team to go to the #SXSW meeting.
4385,"Interesting ""@mmention & quot; Google is looking for technical solutions, why they are not great @mmention community because it is a human solution #sxsw� ۝"
1237,Apple Pop -up Store ... line is ridiculous.#Sxsw {link}
173,"You spent $ 1,000+ to come to SXSW.

You have already used iPad 1.

Waiting are a few city blocks.

Why the? #Ipad2 #sxsw {link}"
5197,"RT @MENTION Apple is ""the classic, fascist company in America,"" says @mention #SXSW"
4430,"@MENTION NICE #SXSW SONG @MENTION DON� T HACK, WRITE RAILS.UNDELENTAUT, WORK for Sales. For Google. {Linking}"
6850,Apple opens a temporary business in Austin for #SXSW.WEIS Obviously want to spend $ 1500 for a MacBook.
4006,"Is an overload of information that is delivered by Google Discovery? Google says that people don't lose curiosity, but I wonder ... we need a coincidence.#Sxsw"
3268,"Be careful, the Android #SXSW app for schedules is completely in -indecisive. I just went to the hyatt for no reason"
1492,@mention @mention @mentation paper phones? means that an iPad at #SXSW will probably also be useless. #failure
2772,"For my friends at #SXSW, who think I left them, in reality I just had no means of communication, my iPhone didn't work anymore. #Failure"
5095,RT @MENTION #SXSW: iPad design headache (take two tablets and call me in the morning) {Link}
8404,"If you have an iPad that has not yet upgraded to the latest iOS, Tweeteck is very unstable #11NTC #SXSW #SXSWI"
4569,Grrrr @memention not #sxsw as intended on the web or iPhone :(
3180,Who uses Google TV in this room? Nobody increases a hand in a packaged room at #SocialViewing session at #SXSW
3754,"The Netflix iPhone app was in A & quot;Comfortable deadline """
904,"Google doesn't start anything during #SXSW, just celebrate {link} #circles"
4293,"Line around the corner for #iPad2 at #SXSW, I say, wait."
4137,@MENTION may have to go to Apple today.
7569,Google was unable to carry out disruptive innovations and acquired 89 Startups @MENION #LEANSTARTUP #SXSW in recent years
7795,Opened yesterday. Lay for too long to wait to just look.
4418,"Starts to think, my #Blackberry is more like the #abacus of telefone.Verdammt u #iPhone. #Sxsw (I just wanted #abacus)"
5338,"Rt @mmention best, what I this wknd @memention #sxsw & quot;I gave my iPad 2 Money 2 #japan relief. I don't need an iPad 2 & quot;( @mentioned @mmention)"
3401,@MENTION I am glad that I don't have a iPad 2 ... I think.#sxsw
5175,RT @mmention everyone who wanted to buy a new iPad should instead donate #japan #tsunami victim. #Sxsw
7245,Apple ... & quot;The best fascist company in America & quot; Kara Swisher #SXSW
