,tweet_text
3589,Hey @mention got invited to a new group at #SXSW and your Android app keeps crashing when I try to join! WTF? #sxswfail
3413,"Totalitarian thought in action: People worldwide come to Austin, TX for #SXSW and decide to spend their time in line at an Apple Store."
1788,@mention about to talk at #sxsw on mistakes building #Netflix #iphone app
6276,"RT @mention RT @mention Apple is &quot;the classiest, fascist company in America,&quot; says @mention #sxsw"
4933,RT @mention &quot;@mention - #Apple is the classiest fascist company in America. Really elegant.&quot; #sxsw #rji
6731,"RT @mention Woman in lobby: &quot;there's a website called, like, stupid iPhone speller, and it's ppl taking pics of funny autocorrected words.&quot; #sxsw"
2221,The iPad calendar = The Frankeninterface. Designed as one interface metaphor but uses another. #tapworthy #sxsw
3381,"@mention I meant iTunes doesn't work for me (IE: Don't run Apple software, even if it would run on my Ubuntu desktop).  Not just #SXSW dl"
3541,I'm thinking that I may actually have to take my laptop to #sxsw. The iPad alone may not be enough on this trip.
6448,RT @mention speaks truth: Watched #Apple staff at the temp #sxsw store just high five entire long line and facepalmed. Ugh. #LongLinesBadUX
1934,@mention another google social failure? #sxsw
7288,"Apps distract pubs, sez Khoi Vinh. Instead of focusing on reader exp, they're delivering same content 3 ways. #SXSW  {link}"
6154,RT @mention Note to self: downside of tweeting on an white iPad 2 expect to be mocked. @mention #sxsw
3371,"@mention I hate typing on an iPad. So, yeah, THE Ken Calhoun is this man, the real deal! And I am bringing my laptop to #sxsw Sun."
3992,Look at all these people at #sxsw with iPad 1's. No shame.
607,Hey #SXSW how bout donating all this $ your spending on the new #iPad to Japan. Do you REALLY need that thing?
4689,Cashmere of Mashable: Thinks the iPad 2 is not a huge step up. Now waiting for the Apple PR team to parachute into the #SXSW session.
4385,interesting &quot;@mention &quot;Google looks for technical solutions which why they're not great @mention community because its a human solution #SXSW�۝
1237,Apple pop up store... line is ridic. #sxsw  {link}
173,"You spent $1,000+ to come to SXSW. 

You've already used iPad 1. 

The wait is a couple city blocks. 

Why? #ipad2 #SXSW {link}"
5197,"RT @mention Apple is &quot;the classiest, fascist company in America,&quot; says @mention #sxsw"
4430,"@mention Nice #SXSW song @mention  Don�۪t hack, Write Rails. Under deliver, over sell. Work for Google. {link}"
6850,Apple is opening a temporary store in Austin for #SXSW. Because people obviously want to shell out $1500 for a MacBook.
4006,"Will overload of info delivered by Google kill discovery? Google says people won't lose curiosity, but I wonder...We need serendipity. #SXSW"
3268,"Beware, the android #sxsw app for schedules is completely innacurate. Just walked to the hyatt for no reason #sxswfail"
1492,@mention @mention @mention @mention Paper phones?  Means an iPad will likely be useless at #sxsw as well. #fail
2772,"To my friends at #SXSW who think I abandoned you, in reality I just didn't have any means of communication, my iPhone stopped working. #fail"
5095,RT @mention #SXSW: iPad Design Headaches (Take Two Tablet and Call Me in the Morning) {link}
8404,"If you have an iPad DO NOT upgrade to the newest iOS yet, TweetDeck is very unstable on it #nten #11ntc #sxsw #sxswi"
4569,Grrrr @mention not muting #sxsw as thought on web or iphone :(
3180,Who uses Google TV in this room? Nobody raises a hand in a packed room at the #socialviewing session at #sxsw
3754,The Netflix iPhone app was built to a &quot;ridiculous deadline&quot;. Big mistake on the tech's part to agree to it #sxsw
904,"Google is not launching anything during #sxsw, just partying {link} #circles"
4293,"line around the corner for #iPad2 at #sxsw, i say wait on it. I've already got two cameras on my #iPhone sorry #apple"
4137,@mention Might need to go to Apple today. I think my &quot;S&quot; &quot;X&quot; and &quot;W&quot; keys are worn out. #SXSW
7569,Google was incapable of doing disruptive innovation- and acquired 89 startups over the last few years @mention #leanstartup #sxsw
